species,size,family,fg,habitat,true_spp,trophic_level
Bothus_pantherinus,39,Bothidae,Micro-invertivore,Reef,Bothus_pantherinus,-999
Brotula_multibarbata,100,Ophidiidae,Macro-invertivore,Reef,Brotula_multibarbata,3.7
Bryaninops_sp,5,Gobiidae,Detritivore,Reef,Bryaninops_sp,-999
Caesio_caerulaurea,35,Caesionidae,Planktivore,Reef,Caesio_caerulaurea,-999
Caesio_cuning,60,Caesionidae,Planktivore,Reef,Caesio_cuning,-999
Caesio_lunaris,40,Caesionidae,Planktivore,Reef,Caesio_lunaris,-999
Caesio_sp,50,Caesionidae,Planktivore,Reef,Caesio_sp,-999
Caesio_sp.,50,Caesionidae,Planktivore,Reef,Caesio_sp,-999
Caesio_teres,40,Caesionidae,Planktivore,Reef,Caesio_teres,-999
Caesio_varilineata,40,Caesionidae,Planktivore,Reef,Caesio_varilineata,-999
Caesio_xanthonota,40,Caesionidae,Planktivore,Reef,Caesio_xanthonota,-999
Calamus_calamus,56,Sparidae,Macro-invertivore,Reef,Calamus_calamus,-999
Calamus_pennatula,37,Sparidae,Macro-invertivore,Reef,Calamus_pennatula,3.5
Calotomus_carolinus,54,Scaridae,Browser,Reef,Calotomus_carolinus,-999
Calotomus_zonarchus,33,Scaridae,Browser,Reef,Calotomus_zonarchus,-999
Cantherhines_dumerilii,38,Monacanthidae,Micro-invertivore,Reef,Cantherhines_dumerilii,-999
Cantherhines_longicaudus,13.2,Monacanthidae,Micro-invertivore,Reef,Cantherhines_longicaudus,-999
Cantherhines_macrocerus,46,Monacanthidae,Micro-invertivore,Reef,Cantherhines_macrocerus,3
Cantherhines_pardalis,25,Monacanthidae,Micro-invertivore,Reef,Cantherhines_pardalis,-999
Cantherhines_pulles,38,Monacanthidae,Micro-invertivore,Reef,Cantherhines_pulles,-999
Cantherhines_rapanui,20,Monacanthidae,Micro-invertivore,Reef,Cantherhines_rapanui,-999
Cantherhines_sandwichiensis,19.3,Monacanthidae,Spongivore,Reef,Cantherhines_sandwichiensis,-999
Cantherhines_verecundus,12.5,Monacanthidae,Micro-invertivore,Reef,Cantherhines_verecundus,-999
Canthidermis_sufflamen,65,Balistidae,Macro-invertivore,Reef,Canthidermis_sufflamen,3.2
Canthigaster_amboinensis,15,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_amboinensis,-999
Canthigaster_bennetti,10,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_bennetti,-999
Canthigaster_coronata,11,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_coronata,3.1
Canthigaster_epilampra,12,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_epilampra,-999
Canthigaster_jactator,9,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_jactator,-999
Canthigaster_janthinoptera,9,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_janthinoptera,-999
Canthigaster_rostrata,12,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_rostrata,3
Canthigaster_smithae,13,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_smithae,-999
Canthigaster_solandri,11.5,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_solandri,-999
Canthigaster_valentini,11,Tetraodontidae,Micro-invertivore,Reef,Canthigaster_valentini,-999
Caracanthus_maculatus,5,Caracanthidae,Piscivore,Reef,Caracanthus_maculatus,-999
Caracanthus_typicus,2.9,Caracanthidae,Piscivore,Reef,Caracanthus_typicus,-999
Carangoides_ferdau,70,Carangidae,Piscivore,Pelagic,Carangoides_ferdau,4.5
Carangoides_fulvoguttatus,120,Carangidae,Piscivore,Pelagic,Carangoides_fulvoguttatus,4.4
Carangoides_oblongus,46,Carangidae,Piscivore,Pelagic,Carangoides_oblongus,-999
Carangoides_orthogrammus,75,Carangidae,Piscivore,Pelagic,Carangoides_orthogrammus,4.5
Carangoides_plagiotaenia,50,Carangidae,Piscivore,Pelagic,Carangoides_plagiotaenia,-999
Caranx_bartholomaei,100,Carangidae,Piscivore,Pelagic,Caranx_bartholomaei,-999
Caranx_crysos,70,Carangidae,Piscivore,Pelagic,Caranx_crysos,4.4
Caranx_ignobilis,170,Carangidae,Piscivore,Pelagic,Caranx_ignobilis,4.2
Caranx_latus,101,Carangidae,Piscivore,Pelagic,Caranx_latus,4.4
Caranx_lugubris,100,Carangidae,Piscivore,Pelagic,Caranx_lugubris,4.5
Caranx_melampygus,117,Carangidae,Piscivore,Pelagic,Caranx_melampygus,4.5
Caranx_papuensis,88,Carangidae,Piscivore,Pelagic,Caranx_papuensis,4
Caranx_ruber,65,Carangidae,Piscivore,Pelagic,Caranx_ruber,-999
Caranx_sexfasciatus,120,Carangidae,Piscivore,Pelagic,Caranx_sexfasciatus,4.5
Caranx_sp,80,Carangidae,Piscivore,Pelagic,Caranx_sp,-999
Carcharhinus_albimarginatus,300,Carcharhinidae,Piscivore,Unknown,Carcharhinus_albimarginatus,4.2
Carcharhinus_amblyrhynchos,255,Carcharhinidae,Piscivore,Unknown,Carcharhinus_amblyrhynchos,4.1
Carcharhinus_galapagensis,370,Carcharhinidae,Piscivore,Unknown,Carcharhinus_galapagensis,4.2
Carcharhinus_melanopterus,200,Carcharhinidae,Piscivore,Unknown,Carcharhinus_melanopterus,3.9
Carcharhinus_perezi,250,Carcharhinidae,Piscivore,Unknown,Carcharhinus_perezi,-999
Centropyge_acanthops,8,Pomacanthidae,Micro-invertivore,Reef,Centropyge_acanthops,-999
Centropyge_argi,8,Pomacanthidae,Micro-invertivore,Reef,Centropyge_argi,2
Centropyge_bicolor,15,Pomacanthidae,Micro-invertivore,Reef,Centropyge_bicolor,-999
Centropyge_bispinosa,10,Pomacanthidae,Micro-invertivore,Reef,Centropyge_bispinosa,-999
Centropyge_bispinosus,10,Pomacanthidae,Micro-invertivore,Reef,Centropyge_bispinosus,-999
Centropyge_fisheri,7.5,Pomacanthidae,Micro-invertivore,Reef,Centropyge_fisheri,-999
