Country,Year,Location,Acanthuridae,Aulostomidae,Balistidae,Carangidae,Carcarhinidae,Chaetodontidae,Diodontidae,Fistularidae,Ginglymostomatidae,Haemulidae,Holocentridae,Labridae,Lethrinidae,Lutjanidae,Mullidae,Muraenidae,Others,Pempheridae,Penguipedidae,Pomacanthidae,Pomacentridae,Scaridae,Scombridae,Scorpaenidae,Serranidae,Siganidae,Sphyraenidae,Total biomass,Area,Closure age,LAT,LONG,Exposure,depth,Management,Year of closure,Coral.cover,Algae,Soft.coral,Depth,Park,Park_ID,Atoll,Sampling method,Sampling area,Habitat
Kenya,2009,Mombasa Starfish,62.135,0,10.485,0,0,5.72,11.92,0,0,232.525,51.35,44.61,11.18,7.79,2.245,0,16.11,0,0,8.165,25.33,102.69,0,0.81,14.49,43.21,0,650.765,6,18,-3.99,39.75,Sheltered,2,High compliance closure,1991,23.7,15.3,3.3,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2014,Mombasa_Braincoral,114.3995936,33.53548022,14.06242233,0,0,40.86823135,0,0,0,117.5917801,240.160834,71.64510035,0,311.1283369,2.197951516,0,68.67489881,19.56072589,0,64.27075388,65.7409362,44.94559962,0,0,42.07750614,8.098639032,0,1258.95879,6,23,-3.98,39.77,Exposed,8,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
Kenya,2014,Mombasa_Greenturtle,206.3047033,21.12929738,15.83002633,0,0,9.899281385,0,0,0,0,41.66965801,50.32661085,0,49.12681535,12.59996228,11.02684199,57.83761174,0,0,5.918349358,73.26442208,8.515548735,0,0,38.37269218,8.098639032,0,609.92046,6,23,-3.99,39.76,Sheltered,10.2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
Kenya,2014,Mombasa_Sandpatch,171.0389352,0,17.78371478,0,0,18.54308878,0,0,0,66.43349863,97.05004502,52.20078359,1.35277922,285.2235462,12.98009694,0,71.3250357,6.4850625,0,46.22044354,23.28698012,80.08268589,0,0,34.72444548,361.3291219,0,1346.060264,6,23,-3.98,39.77,Sheltered,12,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
Kenya,2014,Mombasa_Sharkpoint,212.0437492,0,26.27883093,0,0,9.585412888,0,0,0,444.2755772,173.8924845,96.57229885,0,407.9617503,6.299981138,0,199.4769083,12.970125,0,75.23700855,55.75649013,100.9936479,0,0,14.70612131,829.1776104,0,2665.227997,6,23,39.77,-3.98,Exposed,10,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2007,Mpunguti,69.1475,0,5.94,0,0,6.1875,0,0,0,0,1.3775,32.5425,0.6775,0,4.4975,0,10.875,0,0,5.435,40.7825,5.995,0,0.375,2.64,0.4675,0,186.94,28,34,-4.708333333,39.36666667,Exposed,2,Low compliance and young closure,1973,20,11.1,18.3,2,Mpunguti,15,0,Belt transect,500,Lagoon/Back reef
Kenya,2013,Mpunguti Edge 2 (Kijamba),282.0444166,11.90144172,20.97601891,0,0,13.17381441,0,0,0,0,66.79699787,151.5847137,0,12.20347303,9.449971707,0,84.80741028,0,1.016226035,5.479725332,50.96683193,77.26253987,0,0,11.02959098,0,0,798.6931724,28,40,-4.7083,39.3667,Exposed,5,Low compliance and young closure,1973,,,,,Mpunguti,15,0,Belt transect,500,Slope
Kenya,2013,Mpunguti wa Juu Edge,81.6527546,0,7.875808306,0,0,22.25170654,0,0,0,50.49170271,125.3002781,47.93859518,0,42.10300201,8.644869359,0,101.5743612,0.64850625,0,32.18988491,156.1357664,70.18492023,0,0,13.68569241,0,0,760.6778481,28,40,-4.4925,39.48694,Exposed,11,Low compliance and young closure,1973,,,,,Mpunguti,15,0,Belt transect,500,Slope
Kenya,2011,Mradi,187.24,0,0.885,0,0,19.47,0,0,0,0,0,31.2,3.03,12.59,21.24,0,22.22,0,0,3.945,29.29,10.455,0,0,0.805,3.74,0,346.11,0.22,1,-3.593144,39.93232,Sheltered,1,Low compliance and young closure,2011,,,,,Mradi,21,0,Belt transect,500,Flat
Kenya,2012,Mradi,185.962004,0,3.496003152,0,0,7.495702637,33.41051866,0,0,0,6.922548376,50.38076232,4.383127016,17.04154261,9.047420533,0,32.56878977,0,0,4.931957799,66.63658928,9.313548352,0,0.748609933,5.283919231,2.803767051,0,440.4268107,0.22,2,-3.593144,39.93232,Sheltered,1,Low compliance and young closure,2011,54.6,11,2.5,1,Mradi,21,0,Belt transect,500,Flat
Kenya,2014,Mradi,152.6024542,0,4.379805155,0,0,17.24918325,0,0,0,8.304187329,2.755582575,56.98482842,0,0,8.497932654,0,5.374773068,0,0,0.98639156,29.22172469,1.87018262,0,0,21.14819517,0.934589017,0,310.3098297,0.22,3,-3.94166,39.7823,Sheltered,3,Low compliance and young closure,2011,40.1,30,2,3,Mradi,21,0,Belt transect,500,Flat
Kenya,2011,Mtangata,50.615,1.945,0,0,0,4.635,0,0,0,0,0,55.065,0,0.615,4.885,0,6.94,0,0,0,29.105,5.07,0,0,0,0,0,158.875,0.112,2,-4.3139,39.5829,Sheltered,1,Low compliance and young closure,2009,20.5,25,2.8,1,Mtangata,20,0,Belt transect,500,Lagoon/Back reef
Kenya,2014,Mtangata,104.472852,1.942865378,0.883802003,0,0,7.495702637,0,0,0,0,0.918527525,66.46777036,3.030347796,6.294297824,10.23265754,0,4.453785546,0,0.338742012,0,88.60830978,6.682730862,0,0,0,2.803767051,0,304.6261583,0.12,5,-4.31,39.58,Sheltered,,Low compliance and young closure,,,,,,Mtangata,20,0,Belt transect,500,Lagoon/Back reef
Kenya,2009,Shark Point,203.4370886,17.24356662,18.3222258,0,0,9.271544391,0,0,0,0,37.86118016,52.8278683,0,187.2643186,9.769430911,0,29.58387363,0,0.677484023,31.35112447,52.1600779,73.95687431,0,0,49.64945098,0,0,773.3761087,6,18,-3.98,39.77,Exposed,10,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
Kenya,2012,Tiwi In,3.737424401,0,3.496003152,0,0,2.781463317,0,0,0,0,0,32.44376272,0,0.613783621,1.098975758,0.837766975,13.6059566,0,0,0,8.419138968,2.032659894,0,0,0,0,0,69.06693541,0.13,3,-4.22011181,39.6115078,Sheltered,0.5,Low compliance and young closure,2009,30.2,4.3,0,0.5,Tiwi,22,0,Belt transect,500,Lagoon/Back reef
Kenya,2009,Tiwi Tengefu,3.62,0,0.4675,0,0,3.005,0,0,0,0,0,7.8875,0,0,0.0225,3.6575,3.375,0,0.195,0,2.3025,0.7825,0,0.375,0,0,0,25.69,0.13,0,-4.26,39.61,Sheltered,0.5,Low compliance and young closure,2009,31.2,10.9,0.3,0.5,Tiwi,22,0,Belt transect,500,Lagoon/Back reef
Kenya,2011,Tiwi Tengefu,36.86,0,0.885,0,0,8.345,0,0,0,0,0,31.565,0.675,0,0.64,0.84,18.6,0,0,0,13.705,12.745,0,0,0.805,0,0,125.665,0.13,2,-4.26,39.61,Sheltered,0.5,Low compliance and young closure,2009,35.7,4.3,0.3,0.5,Tiwi,22,0,Belt transect,500,Lagoon/Back reef
Kenya,2005,Vipingo,12.09,0.2,0,0,0,4.4,0,0,0,0,0.83,31.28,0,0,0.02,0,5.01,0.02,0.3,0,27.36,9.29,0,0.02,7.91,0,0,98.73,0.29,0,-3.48,39.95,Sheltered,2,High compliance closure,2005,,,,,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2006,Vipingo,17.63,0,0,0,0,12.91,16.71,0,0,0,0,45.18,0,0,0.55,0,0.67,0,0,0,34.04,1.06,0,0,1.84,0,0,130.59,0.29,1,-3.48,39.95,Sheltered,1,High compliance closure,2005,25.9,1.8,7.7,1,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2007,Vipingo,78.07,0,0.44,0,0,12.56,0,0,0,0,0.46,53.55,0,5.68,1.85,0,3.04,0.03,0.17,0,38.7,4.14,0,0.03,5.51,0,0,204.24,0.29,2,-3.48,39.95,Sheltered,1,High compliance closure,2005,21.6,0.4,7,1,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2008,Vipingo,105.02,0,0.88,0,0,15.34,16.71,0,0,0,0,95.19,6.06,5.49,6.17,0,3.9,0.03,0,0,60.67,32.53,0,0,4.48,15,0,367.46,0.29,3,-3.48,39.95,Sheltered,1,High compliance closure,2005,30.5,1.2,4.3,1,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2009,Vipingo,142.89,0.67,0,0,0,24.11,1.63,0,0,3.11,1.84,67.04,5.06,34.93,12.2,0,4.13,0,0.68,0,51.47,33.29,0,0,4.48,25.32,0,412.83,0.29,4,-3.48,39.95,Sheltered,1,High compliance closure,2005,29.6,12.8,4.2,1,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2010,Vipingo,101.29,0,0.59,0,0,13.91,0,0,0,2.546666667,12.29333333,43.81666667,4.04,53.48,2.596666667,0,3.47,0,0.676666667,6.943333333,26.01333333,9.253333333,0,0,15.09333333,11.42333333,0,307.4366667,0.29,5,-3.48,39.95,Sheltered,1,High compliance closure,2005,,,,,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2011,Vipingo,251.42,0,3.495,0,0,25.96,0,0,0,0,8.755,67.285,6.735,11.975,7.875,0,1.81,0,0.34,0,36.01,64.27,0,0,8.155,19.625,0,513.71,0.29,6,-3.48,39.95,Sheltered,1,High compliance closure,2005,26.2,3.6,4.4,1,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2012,Vipingo,150.5299014,0,0,0,0,8.344389953,5.41530958,0,0,0,13.41942493,73.46558769,0,5.680514203,3.495035567,1.800245422,14.78178088,0,0,0,23.91393729,22.65825508,0,0,31.85160961,8.722264601,0,364.0782562,0.29,7,-3.48,39.95,Sheltered,1,High compliance closure,2005,,,,,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2013,Vipingo,101.7998401,0,5.263607158,0,0,12.13147483,5.415309579,0,0,0,18.50491825,94.83841637,1.35277922,57.87624766,1.648463637,0,3.865755835,0,0.338742012,0,33.63385901,9.420662739,0,0,11.83328543,2.803767051,0,360.7271289,0.29,8,-3.37,40.01,Sheltered,2,High compliance closure,2005,21.6,10.1,7.7,2,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,2014,Vipingo,114.4294009,0,6.992006303,0,0,15.14833952,0,0,0,0,1.83705505,84.54155441,0,33.85162144,5.20100538,0,0,1.2970125,0,8.442302014,32.78090279,41.54292542,0,0,17.92089912,5.607534102,0,369.5925589,0.29,9,-3.48,39.95,Sheltered,1.5,High compliance closure,2005,27.5,13.7,2.7,1.5,Vipingo,5,0,Belt transect,500,Lagoon/Back reef
Kenya,1988,Watamu,237.47,67.5,5.26,0,0,7.11,6.94,1.2,0,126.2,293.1,84.48,1.27,31.29,15.76,17.04,404.91,114.32,2.33,7.17,119.91,229.25,0,0.74,191.3,170.22,0,2134.77,10,16,-3.37,40.01,Sheltered,2,High compliance closure,1972,,,,,Watamu,2,0,Belt transect,500,Lagoon/Back reef
